job_ID              start_time  end_time job_d mp rd  r_bytes   w_bytes   mp_t    rd_t  ?  cpu_t  mem_amnt  fs kt s sp rn
job_1376119088551_0009 07:34:52 07:52:41 1069.0 45 1 5368715100 5368709100 2766132 818724 1 1166700 10346725376 0 4 cp t 1
job_1376119088551_0007 07:34:52 08:05:11 1819.0 48 2 5368715100 5368709100 2555101 1710851 1 1029720 10277052416 16 8 cp t 1
job_1376119088551_0010 07:34:53 07:50:36 943.0 45 1 5368715100 5368709100 3701887 576307 1 1254670 10228236288 0 5 cp t 1
job_1376119088551_0006 07:34:52 07:53:27 1115.0 47 1 5368715100 5368709100 3108448 1039844 1 1122030 10313867264 0 7 cp t 1
job_1376119088551_0008 07:34:52 0 0 0 0 0 0 0 a 0 0 0 0 0 cp t 1
job_1376107942832_0007 04:28:58 0 0 0 0 0 0 0 a 0 0 0 0 0 cp t 2
job_1376107942832_0008 04:28:58 04:46:34 1056.0 50 1 5368715100 5368709100 4808376 911740 1 1200040 10131292160 0 9 cp t 2
job_1376107942832_0009 04:28:58 05:08:20 2362.0 48 2 5368715100 5368709100 4060315 2084650 1 1164300 10226356224 69 8 cp t 2
job_1376107942832_0010 04:28:58 04:48:33 1175.0 46 1 5368715100 5368709100 3685699 748358 1 1242670 10126970880 0 6 cp t 2
job_1376107942832_0006 04:28:57 05:08:18 2361.0 43 2 5368715100 5368709100 1879522 2322094 1 988850 10338320384 0 3 cp t 2
job_1376111602101_0008 05:29:59 05:52:18 1339.0 44 1 5368715100 5368709100 2736327 1186467 1 1196370 10310184960 0 4 cp t 3
job_1376111602101_0007 05:29:59 05:43:46 827.0 43 1 5368715100 5368709100 2659473 733696 1 1042810 10269999104 0 3 cp t 3
job_1376111602101_0009 05:29:59 05:44:19 860.0 45 1 5368715100 5368709100 3611789 615500 1 1221470 10155761664 0 5 cp t 3
job_1376111602101_0010 05:29:59 05:55:36 1537.0 45 1 5368715100 5368709100 3089356 1182498 1 1247620 10189410304 0 5 cp t 3
job_1376111602101_0006 05:29:59 05:54:14 1455.0 44 1 5368715100 5368709100 2221259 1387612 1 1110280 10322190336 0 4 cp t 3
job_1376105401457_0006 03:46:44 04:05:24 1120.0 51 1 5368715100 5368709100 5215102 1052871 1 1137930 10147594240 0 11 cp t 4
job_1376105401457_0010 03:46:44 04:07:27 1243.0 47 1 5368715100 5368709100 3558648 803040 1 1193680 10155393024 0 7 cp t 4
job_1376105401457_0009 03:46:44 04:02:24 940.0 46 1 5368715100 5368709100 3807772 607254 1 1226450 10258341888 0 6 cp t 4
job_1376105401457_0007 03:46:44 04:03:31 1007.0 40 1 5368715100 5368709100 2221313 898397 1 1040590 10219081728 0 0 cp t 4
job_1376105401457_0008 03:46:44 04:06:18 1174.0 44 1 5368715100 5368709100 2858835 1016388 1 1213040 10282766336 0 4 cp t 4
job_1376105401097_0006 03:46:43 04:00:29 826.0 46 1 5368715100 5368709100 3026682 778206 1 1088960 10281852928 0 5 cp t 5
job_1376105401097_0007 03:46:44 04:04:45 1081.0 47 1 5368715100 5368709100 2532792 989859 1 1115360 10310279168 0 7 cp t 5
job_1376105401097_0010 03:46:44 04:05:56 1152.0 44 1 5368715100 5368709100 3126761 749137 1 1218340 10232725504 0 4 cp t 5
job_1376105401097_0008 03:46:44 04:05:22 1118.0 45 1 5368715100 5368709100 2666596 964336 1 1106030 10276536320 0 4 cp t 5
job_1376105401097_0009 03:46:44 04:05:57 1153.0 49 1 5368715100 5368709100 5953653 910631 1 1228400 10159030272 0 9 cp t 5
job_1376131672285_0010 11:04:28 11:42:36 2288.0 41 1 5368715100 5368709100 6391202 1950830 1 1215960 10100211712 0 0 cp f 1
job_1376131672285_0006 11:04:27 11:46:37 2530.0 48 4 5368715100 5368709100 3223968 2482110 1 1080110 10275561472 0 8 cp f 1
job_1376131672285_0007 11:04:28 11:45:56 2488.0 43 2 5368715100 5368709100 2792942 2437024 1 1095170 10205061120 37 3 cp f 1
job_1376131672285_0009 11:04:28 11:40:27 2159.0 44 2 5368715100 5368709100 5743145 1911408 1 1188720 10257694720 5 1 cp f 1
job_1376131672285_0008 11:04:28 11:18:02 814.0 40 1 5368715100 5368709100 3371682 644136 1 1116990 10178695168 0 0 cp f 1
job_1376135495905_0010 12:08:12 12:27:44 1172.0 40 1 5368715100 5368709100 2468716 839394 1 1258810 10165415936 0 0 cp f 2
job_1376135495905_0006 12:08:11 12:35:45 1654.0 40 1 5368715100 5368709100 2162499 1617697 1 1061140 10252271616 0 0 cp f 2
job_1376135495905_0009 12:08:11 12:21:49 818.0 40 1 5368715100 5368709100 3545628 592132 1 1295050 10254106624 0 0 cp f 2
job_1376135495905_0008 12:08:11 12:37:19 1748.0 45 1 5368715100 5368709100 2797942 1621067 1 1208660 10164187136 0 0 cp f 2
job_1376135495905_0007 12:08:11 12:25:36 1045.0 40 1 5368715100 5368709100 2562153 949741 1 1111290 10275438592 0 0 cp f 2
job_1376135496397_0008 12:08:11 12:27:38 1167.0 40 1 5368715100 5368709100 4227121 1018873 1 1279940 10031796224 0 0 cp f 3
job_1376135496397_0009 12:08:11 12:36:52 1721.0 40 1 5368715100 5368709100 3149657 1517239 1 1223270 10219593728 0 0 cp f 3
job_1376135496397_0010 12:08:12 12:26:29 1097.0 40 1 5368715100 5368709100 3476031 745151 1 1301130 10066427904 0 0 cp f 3
job_1376135496397_0006 12:08:10 12:33:51 1541.0 40 1 5368715100 5368709100 2630917 1477068 1 1131230 10199601152 0 0 cp f 3
job_1376135496397_0007 12:08:10 12:21:55 825.0 40 1 5368715100 5368709100 1702764 732199 1 1000120 10307461120 0 0 cp f 3
job_1376131672440_0006 11:04:27 11:37:23 1976.0 48 4 5368715100 5368709100 3497671 1892881 1 1087800 10253443072 49 8 cp f 4
job_1376131672440_0007 11:04:27 11:21:20 1013.0 40 1 5368715100 5368709100 2701985 920768 1 1061730 10152759296 0 0 cp f 4
job_1376131672440_0009 11:04:27 11:19:07 880.0 40 1 5368715100 5368709100 3762671 619526 1 1242320 10169860096 0 0 cp f 4
job_1376131672440_0010 11:04:27 11:39:10 2083.0 43 2 5368715100 5368709100 3377637 1727537 1 1239800 10155700224 15 3 cp f 4
job_1376131672440_0008 11:04:27 0 0 0 0 0 0 0 a 0 0 0 0 0 cp f 4
job_1376128223329_0006 10:06:49 10:23:24 995.0 40 1 5368715100 5368709100 2625399 964532 1 1085800 10203295744 0 0 cp f 5
job_1376128223329_0010 10:06:50 10:29:25 1355.0 40 1 5368715100 5368709100 2290894 878273 1 1188490 10161258496 0 0 cp f 5
job_1376128223329_0009 10:06:50 10:24:55 1085.0 40 1 5368715100 5368709100 5313406 829083 1 1260110 9945550848 0 0 cp f 5
job_1376128223329_0008 10:06:49 0 0 0 0 0 0 0 a 0 0 0 0 0 cp f 5
