job_ID              start_time  end_time job_d mp rd  r_bytes   w_bytes   mp_t    rd_t  ?  cpu_t  mem_amnt  fs kt s sp rn
job_1377881440442_0009 17:07:39 17:29:11 1292.0 47 1 5368715060 5368709100 3927655 1080358 1 1215940 10191826944 0 7 cp t 1
job_1377881440442_0010 17:07:39 17:29:20 1301.0 50 1 5368715060 5368709100 4862292 983025 1 1198660 10074411008 0 10 cp t 1
job_1377881440442_0008 17:07:39 0 0 48 4 5368715060 0 3190168 1233788 0 725910 10117808128 0 8 cp t 1
job_1377881440442_0006 17:07:39 0 0 45 4 5368715060 0 2342371 1250725 0 682400 10265866240 0 5 cp t 1
job_1377881440442_0007 17:07:39 0 0 0 0 0 0 0 a 0 0 0 0 0 cp t 1
job_1377885089372_0008 18:08:38 18:46:27 2269.0 54 2 5368715060 5368709100 3048507 2134088 1 1043160 10379022336 16 14 cp t 2
job_1377885089372_0010 18:08:38 18:47:21 2323.0 52 2 5368715060 5368709100 5128609 1998729 1 1187060 10121170944 22 12 cp t 2
job_1377885089372_0006 18:08:38 18:33:38 1500.0 44 1 5368715060 5368709100 2841795 1424761 1 1145060 10239668224 0 3 cp t 2
job_1377885089372_0009 18:08:38 0 0 0 0 0 0 0 a 0 0 0 0 0 cp t 2
job_1377885089372_0007 18:08:38 18:23:27 889.0 41 1 5368715060 5368709100 1559531 807665 1 1015200 10339254272 0 1 cp t 2
job_1377877617073_0007 16:03:38 16:24:34 1256.0 48 1 5368715060 5368709100 3408441 1186555 1 1024770 10289926144 0 7 cp t 3
job_1377877617073_0008 16:03:39 16:19:34 955.0 48 1 5368715060 5368709100 4489226 792710 1 1161520 10143797248 0 8 cp t 3
job_1377877617073_0010 16:03:39 16:25:56 1337.0 44 1 5368715060 5368709100 3315441 814135 1 1134680 10040127488 0 4 cp t 3
job_1377877617073_0009 16:03:39 0 0 0 0 0 0 0 a 0 0 0 0 0 cp t 3
job_1377877617073_0006 16:03:37 16:23:53 1216.0 50 1 5368715060 5368709100 3642797 1171423 1 1072980 10324951040 0 10 cp t 3
job_1377891902531_0008 20:02:07 20:23:34 1287.0 51 1 5368715060 5368709100 5449539 1091604 1 1184700 10209157120 0 11 cp t 4
job_1377891902531_0009 20:02:07 20:22:22 1215.0 45 1 5368715060 5368709100 3178144 933806 1 1099180 10237267968 8 5 cp t 4
job_1377891902531_0010 20:02:08 20:18:56 1008.0 51 1 5368715060 5368709100 5471646 605714 1 1158000 10092986368 0 11 cp t 4
job_1377891902531_0007 20:02:07 20:20:02 1075.0 46 1 5368715060 5368709100 3440922 933585 1 1140340 10201649152 0 6 cp t 4
job_1377891902531_0006 20:02:07 20:22:01 1194.0 44 1 5368715060 5368709100 2065495 1129795 1 1135610 10417135616 0 4 cp t 4
job_1377888892729_0010 19:11:36 19:33:38 1322.0 46 1 5368715060 5368709100 2885269 992965 1 1221040 10255384576 0 6 cp t 5
job_1377888892729_0009 19:11:36 19:28:54 1038.0 45 1 5368715060 5368709100 2793539 817466 1 1179560 10206932992 0 5 cp t 5
job_1377888892729_0008 19:11:35 19:24:44 789.0 48 1 5368715060 5368709100 3415987 645655 1 1081240 10141564928 0 8 cp t 5
job_1377888892729_0007 19:11:36 19:25:01 805.0 46 1 5368715060 5368709100 2801265 728288 1 1063620 10226286592 0 5 cp t 5
job_1377888892729_0006 19:11:33 19:30:58 1165.0 43 1 5368715060 5368709100 1593860 1124748 1 1052550 10369654784 0 3 cp t 5
job_1377901804798_0009 22:46:48 23:02:15 927.0 40 1 5368715060 5368709100 4034121 684369 1 1254900 10164125696 0 0 cp f 1
job_1377901804798_0006 22:46:47 23:06:34 1187.0 41 1 5368715060 5368709100 2341529 1140641 1 1127890 10216878080 0 0 cp f 1
job_1377901804798_0010 22:46:48 23:18:49 1921.0 40 1 5368715060 5368709100 4050736 1592943 1 1284620 10139185152 0 0 cp f 1
job_1377901804798_0007 22:46:47 23:04:40 1073.0 40 1 5368715060 5368709100 2509400 995831 1 1160740 10236473344 0 0 cp f 1
job_1377901804798_0008 22:46:48 23:18:15 1887.0 40 1 5368715060 5368709100 3092408 1724085 1 1250410 10225385472 0 0 cp f 1
job_1377905187634_0007 23:43:09 00:02:00 -85269.0 40 1 5368715060 5368709100 3691016 1055049 1 1111860 10250403840 0 0 cp f 2
job_1377905187634_0010 23:43:10 00:01:45 -85285.0 40 1 5368715060 5368709100 3380632 606120 1 1146190 10130767872 0 0 cp f 2
job_1377905187634_0006 23:43:09 23:55:45 756.0 40 1 5368715060 5368709100 3401814 719193 1 1116320 10187362304 0 0 cp f 2
job_1377905187634_0008 23:43:10 23:57:52 882.0 40 1 5368715060 5368709100 4228615 712046 1 1196800 10176729088 0 0 cp f 2
job_1377905187634_0009 23:43:10 00:01:54 -85276.0 40 1 5368715060 5368709100 5041619 726603 1 1266000 10045235200 0 0 cp f 2
job_1377894889781_0006 20:51:36 21:12:20 1244.0 40 1 5368715060 5368709100 2424741 1206850 1 1112550 10258067456 0 0 cp f 3
job_1377894889781_0007 20:51:36 0 0 40 4 5368715060 0 3615800 1693228 0 743890 9999380480 0 0 cp f 3
job_1377894889781_0009 20:51:36 0 0 0 0 0 0 0 a 0 0 0 0 0 cp f 3
job_1377894889781_0010 20:51:37 21:08:58 1041.0 40 1 5368715060 5368709100 3286406 672153 1 1251520 10182725632 0 0 cp f 3
job_1377894889781_0008 20:51:36 21:09:38 1082.0 40 1 5368715060 5368709100 2404012 923065 1 1209650 10273095680 0 0 cp f 3
job_1377907766331_0007 00:26:11 00:58:23 1932.0 40 1 5368715060 5368709100 3052098 1840590 1 1163200 10221256704 0 0 cp f 4
job_1377907766331_0010 00:26:11 00:47:17 1266.0 40 1 5368715060 5368709100 6024575 635268 1 1088960 10108551168 0 0 cp f 4
job_1377907766331_0009 00:26:12 00:46:08 1196.0 40 1 5368715060 5368709100 9954815 892085 1 1249680 9853779968 0 0 cp f 4
job_1377907766331_0006 00:26:11 00:45:52 1181.0 40 1 5368715060 5368709100 3081931 1135555 1 1120690 10170482688 0 0 cp f 4
job_1377907766331_0008 00:26:11 00:58:38 1947.0 40 1 5368715060 5368709100 8350466 1765162 1 1246400 9992261632 0 0 cp f 4
job_1377898283322_0006 21:48:31 22:22:35 2044.0 40 1 5368715060 5368709100 2694926 1973366 1 1171580 10339074048 0 0 cp f 5
job_1377898283322_0008 21:48:31 22:07:52 1161.0 40 1 5368715060 5368709100 2265273 983856 1 1034600 10277171200 0 0 cp f 5
job_1377898283322_0010 21:48:32 22:03:35 903.0 40 1 5368715060 5368709100 3249832 591344 1 1193210 10179657728 0 0 cp f 5
job_1377898283322_0009 21:48:32 22:06:37 1085.0 40 1 5368715060 5368709100 4431727 866467 1 1308630 10172342272 0 0 cp f 5
job_1377898283322_0007 21:48:31 22:22:37 2046.0 40 1 5368715060 5368709100 2528262 1913270 1 1233630 10217906176 0 0 cp f 5
job_1377923332881_0007 04:46:04 05:07:00 1256.0 42 1 5368715060 5368709100 3930137 1190784 1 1171690 10103853056 0 2 fs t 1
job_1377923332881_0008 04:46:05 05:27:50 2505.0 45 1 5368715060 5368709100 7589046 2437907 1 1158720 10164629504 0 5 fs t 1
job_1377923332881_0010 04:46:05 05:08:37 1352.0 46 1 5368715060 5368709100 6736395 1264641 1 1132610 10025787392 0 6 fs t 1
