job_ID              start_time  end_time job_d mp rd  r_bytes   w_bytes   mp_t    rd_t  ?  cpu_t  mem_amnt  fs kt s sp rn
job_1377695066483_0008 13:21:34 13:41:56 1222.0 45 1 5368715060 5368709100 2560253 1008153 1 1186820 10232410112 0 5 cp t 1
job_1377695066483_0009 13:21:34 13:41:02 1168.0 41 1 5368715060 5368709100 2195779 901784 1 1076070 10235813888 0 1 cp t 1
job_1377695066483_0006 13:21:33 13:35:24 831.0 45 1 5368715060 5368709100 2974186 760942 1 1144800 10188283904 0 5 cp t 1
job_1377695066483_0007 13:21:33 13:41:59 1226.0 46 1 5368715060 5368709100 2808635 1075782 1 1138670 10265182208 0 6 cp t 1
job_1377695066483_0010 13:21:34 13:42:49 1275.0 46 1 5368715060 5368709100 3924391 952831 1 1236500 10143703040 0 6 cp t 1
job_1377701673120_0009 15:11:40 15:29:48 1088.0 45 1 5368715060 5368709100 2945716 801689 1 1190110 10291544064 0 5 cp t 2
job_1377701673120_0007 15:11:40 15:32:27 1247.0 43 1 5368715060 5368709100 2532338 1145071 1 1069980 10279415808 0 3 cp t 2
job_1377701673120_0008 15:11:40 15:29:08 1048.0 45 1 5368715060 5368709100 3248368 869348 1 1171180 10208321536 0 5 cp t 2
job_1377701673120_0006 15:11:40 15:24:35 775.0 50 1 5368715060 5368709100 3971199 707536 1 1092570 10352537600 0 10 cp t 2
job_1377701673120_0010 15:11:41 15:31:47 1206.0 48 1 5368715060 5368709100 4897505 823623 1 1202520 10145865728 1 8 cp t 2
job_1377698062200_0008 14:11:17 14:26:05 888.0 46 1 5368715060 5368709100 2963826 749915 1 1107910 10272493568 0 5 cp t 3
job_1377698062200_0007 14:11:17 14:24:36 799.0 47 1 5368715060 5368709100 3585894 697328 1 1073150 10274594816 0 7 cp t 3
job_1377698062200_0010 14:11:17 14:35:54 1477.0 47 1 5368715060 5368709100 4548392 1085616 1 1274930 10131705856 0 7 cp t 3
job_1377698062200_0009 14:11:17 14:27:47 990.0 44 1 5368715060 5368709100 3109880 731312 1 1219020 10252169216 0 4 cp t 3
job_1377698062200_0006 14:11:17 14:29:02 1065.0 44 1 5368715060 5368709100 1874350 1029576 1 1004090 10325807104 0 3 cp t 3
job_1377704540304_0010 15:59:38 16:18:04 1106.0 45 1 5368715060 5368709100 2940593 785146 1 1197970 10211418112 0 5 cp t 4
job_1377704540304_0009 15:59:38 16:20:27 1249.0 45 1 5368715060 5368709100 2829603 1029494 1 1171590 10254856192 0 4 cp t 4
job_1377704540304_0008 15:59:38 16:21:53 1335.0 48 1 5368715060 5368709100 3615397 1193086 1 1166870 10265653248 0 8 cp t 4
job_1377704540304_0006 15:59:37 16:24:40 1503.0 45 2 5368715060 5368709100 2546842 1429305 1 1049210 10316861440 0 5 cp t 4
job_1377704540304_0007 15:59:37 16:13:48 851.0 41 1 5368715060 5368709100 1747119 768817 1 1013030 10338893824 0 1 cp t 4
job_1377691597763_0006 12:23:32 12:55:25 1913.0 44 1 5368715060 5368709100 2415784 1872169 1 1132170 10269646848 0 4 cp t 5
job_1377691597763_0007 12:23:33 12:44:33 1260.0 47 1 5368715060 5368709100 4107739 1165909 1 1148880 10102460416 0 7 cp t 5
job_1377691597763_0009 12:23:33 12:56:58 2005.0 47 1 5368715060 5368709100 3412479 1721995 1 1201830 10165993472 0 7 cp t 5
job_1377691597763_0008 12:23:33 12:42:37 1144.0 46 1 5368715060 5368709100 3164056 960980 1 1200720 10211962880 0 6 cp t 5
job_1377691597763_0010 12:23:33 12:44:58 1285.0 47 1 5368715060 5368709100 4078312 905249 1 1214450 10172895232 0 7 cp t 5
job_1377711386015_0007 17:53:47 18:07:48 841.0 40 1 5368715060 5368709100 2713319 761592 1 1110060 10206822400 0 0 cp f 1
job_1377711386015_0006 17:53:47 18:12:17 1110.0 40 1 5368715060 5368709100 2605328 1064252 1 1134400 10232311808 0 0 cp f 1
job_1377711386015_0010 17:53:48 18:19:01 1513.0 40 1 5368715060 5368709100 3478372 1119709 1 1235280 10142560256 0 0 cp f 1
job_1377711386015_0008 17:53:47 18:17:33 1426.0 40 1 5368715060 5368709100 3231839 1270563 1 1175050 10274746368 0 0 cp f 1
job_1377711386015_0009 17:53:47 18:18:56 1509.0 40 1 5368715060 5368709100 3763874 1248327 1 1230290 10210344960 0 0 cp f 1
job_1377707526317_0010 16:48:58 17:09:55 1257.0 40 1 5368715060 5368709100 3044508 883186 1 1245160 10134585344 0 0 cp f 2
job_1377707526317_0009 16:48:59 17:09:33 1234.0 40 1 5368715060 5368709100 3252865 1001276 1 1226010 10159624192 0 0 cp f 2
job_1377707526317_0008 16:48:58 17:06:44 1066.0 40 1 5368715060 5368709100 3422631 926697 1 1161810 10156662784 0 0 cp f 2
job_1377707526317_0007 16:48:58 0 0 0 0 0 0 0 a 0 0 0 0 0 cp f 2
job_1377707526317_0006 16:48:58 17:08:23 1165.0 40 1 5368715060 5368709100 2953636 1094091 1 1129170 10273054720 0 0 cp f 2
job_1377714391264_0006 18:43:33 19:08:39 1506.0 40 1 5368715060 5368709100 3277092 1431903 1 1126130 10136174592 0 0 cp f 3
job_1377714391264_0010 18:43:34 19:09:42 1568.0 40 1 5368715060 5368709100 3636746 1206976 1 1220240 10033844224 0 0 cp f 3
job_1377714391264_0008 18:43:33 19:05:49 1336.0 40 1 5368715060 5368709100 3062511 1110660 1 1129940 10258313216 0 0 cp f 3
job_1377714391264_0007 18:43:33 19:00:35 1022.0 40 1 5368715060 5368709100 2611327 867635 1 1154370 10261229568 0 0 cp f 3
job_1377714391264_0009 18:43:34 19:09:33 1559.0 40 1 5368715060 5368709100 3640716 1309890 1 1158740 10234507264 0 0 cp f 3
job_1377721066246_0007 20:34:41 20:54:16 1175.0 40 1 5368715060 5368709100 2908054 1054154 1 1181560 10249273344 0 0 cp f 4
job_1377721066246_0010 20:34:41 20:51:30 1009.0 40 1 5368715060 5368709100 2311176 694010 1 1053940 10269032448 0 0 cp f 4
job_1377721066246_0008 20:34:40 20:59:10 1470.0 40 1 5368715060 5368709100 3145229 1254452 1 1248070 10265882624 0 0 cp f 4
job_1377721066246_0009 20:34:41 0 0 0 0 0 0 0 a 0 0 0 0 0 cp f 4
job_1377721066246_0006 20:34:40 0 0 41 4 5368715060 0 1898181 1702809 0 630980 10160164864 0 0 cp f 4
job_1377717428853_0008 19:33:52 19:52:02 1090.0 40 1 5368715060 5368709100 4266763 918688 1 1226640 10219696128 0 0 cp f 5
job_1377717428853_0009 19:33:52 0 0 0 0 0 0 0 a 0 0 0 0 0 cp f 5
job_1377717428853_0006 19:33:51 0 0 0 0 0 0 0 a 0 0 0 0 0 cp f 5
job_1377717428853_0010 19:33:52 19:49:48 956.0 40 1 5368715060 5368709100 4736821 547209 1 1198800 10014728192 0 0 cp f 5
job_1377717428853_0007 19:33:51 19:50:46 1015.0 40 1 5368715060 5368709100 2223548 924845 1 1153440 10266652672 0 0 cp f 5
job_1377740259693_0010 01:55:17 02:14:23 1146.0 45 1 5368715060 5368709100 2934277 1051963 1 1186930 10183606272 0 5 fs t 1
job_1377740259693_0007 01:55:17 02:16:24 1267.0 45 1 5368715060 5368709100 3605601 1126825 1 1192800 10083831808 0 5 fs t 1
job_1377740259693_0006 01:55:17 02:13:29 1092.0 42 1 5368715060 5368709100 2474145 1018468 1 1149570 10233561088 0 2 fs t 1
job_1377740259693_0008 01:55:17 02:10:42 925.0 42 1 5368715060 5368709100 2761502 845131 1 1183600 10214821888 0 2 fs t 1
job_1377740259693_0009 01:55:17 02:14:31 1154.0 42 2 5368715060 5368709100 2308997 1052166 1 1164950 10268758016 0 2 fs t 1
job_1377729446066_0008 22:54:17 23:12:54 1117.0 43 1 5368715060 5368709100 3198451 1034460 1 1189290 10331865088 0 3 fs t 2
job_1377729446066_0007 22:54:18 23:13:01 1123.0 43 1 5368715060 5368709100 2408285 1056737 1 1154460 10155483136 0 3 fs t 2
job_1377729446066_0006 22:54:17 23:09:09 892.0 43 1 5368715060 5368709100 3572424 739158 1 1188340 10178170880 0 3 fs t 2
job_1377729446066_0009 22:54:18 23:13:19 1141.0 46 1 5368715060 5368709100 3982742 1058014 1 1188810 10146222080 0 5 fs t 2
job_1377729446066_0010 22:54:18 23:13:20 1142.0 43 1 5368715060 5368709100 2916373 1054772 1 1165220 10267455488 0 3 fs t 2
job_1377737273672_0007 01:05:14 01:18:24 790.0 42 1 5368715060 5368709100 2926691 711107 1 1193930 10194657280 0 2 fs t 3
job_1377737273672_0008 01:05:15 01:29:39 1464.0 42 1 5368715060 5368709100 3212235 1370304 1 1243320 10275708928 0 2 fs t 3
job_1377737273672_0010 01:05:15 01:22:45 1050.0 42 1 5368715060 5368709100 3090983 966868 1 1203570 10181865472 0 2 fs t 3
job_1377737273672_0006 01:05:15 01:20:53 938.0 42 1 5368715060 5368709100 3016505 857136 1 1177940 10236841984 0 2 fs t 3
job_1377737273672_0009 01:05:15 01:30:07 1492.0 44 1 5368715060 5368709100 3912455 1403369 1 1241350 10164883456 0 3 fs t 3
job_1377724833805_0009 21:37:59 21:56:44 1125.0 43 1 5368715060 5368709100 2921090 1046254 1 1240820 10223308800 0 3 fs t 4
job_1377724833805_0006 21:37:59 21:57:14 1155.0 45 1 5368715060 5368709100 3471843 1040952 1 1222390 10336251904 0 5 fs t 4
job_1377724833805_0010 21:37:59 21:57:41 1182.0 43 1 5368715060 5368709100 3577943 1089817 1 1225660 10180640768 0 3 fs t 4
job_1377724833805_0007 21:37:59 0 0 51 5 5368715060 0 2838015 2917907 0 732110 10170191872 0 12 fs t 4
job_1377724833805_0008 21:37:59 0 0 46 5 5368715060 0 2266711 3055360 0 688930 10196209664 0 7 fs t 4
job_1377732615090_0010 23:47:18 0 0 0 0 0 0 0 a 0 0 0 0 0 fs t 5
job_1377732615090_0009 23:47:18 00:40:15 -83223.0 65 6 5368715060 5368709100 5449561 3077907 1 1059440 10327162880 0 26 fs t 5
job_1377732615090_0006 23:47:18 00:22:56 -84262.0 48 3 5368715060 5368709100 4229853 1967467 1 1198290 10203942912 0 9 fs t 5
job_1377732615090_0007 23:47:18 00:06:28 -85250.0 46 1 5368715060 5368709100 4317946 1041182 1 1195060 10185195520 0 6 fs t 5
job_1377732615090_0008 23:47:18 00:01:19 -85559.0 42 1 5368715060 5368709100 1871993 771795 1 1068780 10238222336 0 1 fs t 5
job_1377758009127_0010 06:50:58 07:18:00 1622.0 40 2 5368715060 5368709100 3240908 1514541 1 1169430 10223042560 0 0 fs f 1
job_1377758009127_0006 06:50:58 07:09:16 1098.0 40 1 5368715060 5368709100 2830642 1027608 1 1176500 10185158656 0 0 fs f 1
job_1377758009127_0009 06:50:58 07:17:19 1581.0 40 1 5368715060 5368709100 3157425 1495651 1 1222180 10189197312 0 0 fs f 1
job_1377758009127_0008 06:50:58 07:14:19 1401.0 40 1 5368715060 5368709100 3122081 1327188 1 1212890 10198462464 0 0 fs f 1
job_1377758009127_0007 06:50:58 07:05:21 863.0 40 1 5368715060 5368709100 2583617 768350 1 1176870 10195124224 0 0 fs f 1
job_1377750565652_0006 04:46:30 05:07:11 1241.0 40 1 5368715060 5368709100 3689625 1128276 1 1211120 10203570176 0 0 fs f 2
job_1377750565652_0007 04:46:30 05:28:56 2546.0 46 3 5368715060 5368709100 2884643 2472471 1 1168330 10232754176 0 7 fs f 2
job_1377750565652_0008 04:46:30 05:02:04 934.0 40 1 5368715060 5368709100 3066724 837365 1 1154130 10107027456 0 0 fs f 2
job_1377750565652_0010 04:46:30 05:04:23 1073.0 40 1 5368715060 5368709100 3968243 953335 1 1199780 10110152704 1 0 fs f 2
job_1377750565652_0009 04:46:30 0 0 0 0 0 0 0 a 0 0 0 0 0 fs f 2
job_1377754591295_0010 05:53:26 06:12:51 1165.0 40 1 5368715060 5368709100 3245502 1069859 1 1157650 10103926784 1 0 fs f 3
job_1377754591295_0008 05:53:27 06:25:47 1940.0 40 1 5368715060 5368709100 4366796 1796471 1 1218970 10040025088 0 0 fs f 3
job_1377754591295_0009 05:53:26 06:25:44 1938.0 40 1 5368715060 5368709100 4640562 1772990 1 1220430 10111471616 0 0 fs f 3
job_1377754591295_0006 05:53:25 06:11:29 1084.0 40 1 5368715060 5368709100 3843196 974601 1 1164600 10097541120 0 0 fs f 3
job_1377754591295_0007 05:53:26 06:25:34 1928.0 40 1 5368715060 5368709100 3029358 1870065 1 1187190 10147561472 0 0 fs f 3
job_1377743274445_0009 02:44:40 02:58:13 813.0 40 1 5368715060 5368709100 2920321 696320 1 1185360 10167640064 0 0 fs f 4
job_1377743274445_0008 02:44:40 0 0 0 0 0 0 0 a 0 0 0 0 0 fs f 4
job_1377743274445_0007 02:44:40 03:04:16 1176.0 40 1 5368715060 5368709100 2214794 1122836 1 1182390 10295848960 0 0 fs f 4
job_1377743274445_0010 02:44:40 0 0 40 4 5368715060 0 3444986 1413659 0 782880 10016141312 0 0 fs f 4
job_1377743274445_0006 02:44:39 03:03:20 1121.0 40 1 5368715060 5368709100 2775456 1061307 1 1173080 10199056384 0 0 fs f 4
job_1377746900221_0010 03:45:23 0 0 0 0 0 0 0 a 0 0 0 0 0 fs f 5
job_1377746900221_0006 03:45:22 04:03:13 1071.0 40 1 5368715060 5368709100 3929447 922360 1 1224980 10056609792 0 0 fs f 5
job_1377746900221_0009 03:45:23 04:21:13 2150.0 46 3 5368715060 5368709100 3385813 2081145 1 1116970 10252574720 0 7 fs f 5
job_1377746900221_0008 03:45:22 03:58:34 792.0 40 1 5368715060 5368709100 3268778 728992 1 1148890 10225610752 0 0 fs f 5
job_1377746900221_0007 03:45:22 04:03:33 1091.0 40 1 5368715060 5368709100 2788920 1008439 1 1182420 10219028480 0 0 fs f 5
