job_ID              start_time  end_time job_d mp rd  r_bytes   w_bytes   mp_t    rd_t  ?  cpu_t  mem_amnt  fs kt s sp rn
job_1376996320805_0008 11:11:36 11:17:31 355.0 44 10 5368715100 5368709100 1932645 1501944 1 940790 12971409408 0 4 cp t 1
job_1376996320805_0010 11:11:36 11:19:07 451.0 44 10 5368715100 5368709100 1870493 1058884 1 1031150 12976226304 0 4 cp t 1
job_1376996320805_0009 11:11:36 11:18:52 436.0 43 10 5368715100 5368709100 1809963 1522768 1 977200 13095464960 0 3 cp t 1
job_1376996320805_0006 11:11:36 11:15:06 210.0 45 10 5368715100 5368709100 1687740 1214384 1 923660 13144100864 0 5 cp t 1
job_1376996320805_0007 11:11:36 11:15:52 256.0 41 12 5368715100 5368709100 1319854 1280861 1 876640 13085335552 0 1 cp t 1
job_1376999121385_0006 11:56:20 11:58:51 151.0 45 10 5368715100 5368709100 1597215 970007 1 865730 12972249088 0 5 cp t 2
job_1376999121385_0008 11:56:20 12:01:49 329.0 43 10 5368715100 5368709100 1691733 1299718 1 909040 12927909888 0 3 cp t 2
job_1376999121385_0007 11:56:20 12:00:19 239.0 42 10 5368715100 5368709100 1623710 1229586 1 918770 13040750592 0 2 cp t 2
job_1376999121385_0009 11:56:20 12:03:03 403.0 43 10 5368715100 5368709100 1517345 1259549 1 925930 12959035392 0 3 cp t 2
job_1376999121385_0010 11:56:20 12:03:05 405.0 43 10 5368715100 5368709100 1771035 955032 1 915850 12987416576 0 3 cp t 2
job_1377000429741_0007 12:18:22 12:23:06 284.0 44 10 5368715100 5368709100 2235105 1560141 1 1032470 13012066304 0 4 cp t 3
job_1377000429741_0010 12:18:23 12:26:15 472.0 44 10 5368715100 5368709100 1912880 1013468 1 1007030 13012742144 0 4 cp t 3
job_1377000429741_0006 12:18:22 12:22:00 218.0 45 13 5368715100 5368709100 1765372 1492720 1 912130 13023588352 0 5 cp t 3
job_1377000429741_0009 12:18:22 12:25:57 455.0 43 10 5368715100 5368709100 2068504 1362935 1 989150 12876574720 0 3 cp t 3
job_1377000429741_0008 12:18:22 12:24:35 373.0 43 10 5368715100 5368709100 1668731 1368546 1 967590 12978241536 0 3 cp t 3
job_1377001831835_0010 12:42:20 12:49:09 409.0 42 10 5368715100 5368709100 1574921 816307 1 937420 12988784640 0 2 cp t 4
job_1377001831835_0006 12:42:20 12:45:44 204.0 43 10 5368715100 5368709100 1374480 1249848 1 823620 12882919424 0 3 cp t 4
job_1377001831835_0007 12:42:20 12:47:05 285.0 41 12 5368715100 5368709100 1343783 1480859 1 919480 13037854720 0 1 cp t 4
job_1377001831835_0009 12:42:20 12:48:36 376.0 43 10 5368715100 5368709100 1822895 1229298 1 937800 12929130496 0 3 cp t 4
job_1377001831835_0008 12:42:20 12:48:12 352.0 41 12 5368715100 5368709100 1316633 1637847 1 870460 12985577472 0 1 cp t 4
job_1376997791058_0007 11:34:16 11:38:22 246.0 40 11 5368715100 5368709100 1338228 1168999 1 865050 13049430016 0 0 cp t 5
job_1376997791058_0008 11:34:16 11:39:42 326.0 42 10 5368715100 5368709100 1621502 1350565 1 906470 13102747648 0 2 cp t 5
job_1376997791058_0006 11:34:16 11:38:24 248.0 46 10 5368715100 5368709100 1746731 1461402 1 926890 12905508864 0 6 cp t 5
job_1376997791058_0009 11:34:17 11:40:22 365.0 43 10 5368715100 5368709100 1571897 1007285 1 895190 12941639680 0 3 cp t 5
job_1376997791058_0010 11:34:17 11:41:08 411.0 44 10 5368715100 5368709100 1834771 850809 1 936850 12968214528 0 3 cp t 5
job_1377004609870_0007 13:28:48 13:33:21 273.0 40 10 5368715100 5368709100 1512176 1529024 1 965330 13020180480 0 0 cp f 1
job_1377004609870_0010 13:28:49 13:35:42 413.0 40 10 5368715100 5368709100 1681233 875948 1 952840 12989378560 0 0 cp f 1
job_1377004609870_0009 13:28:49 13:35:30 401.0 40 10 5368715100 5368709100 1618723 1334211 1 901570 12967596032 0 0 cp f 1
job_1377004609870_0008 13:28:48 13:34:19 331.0 40 10 5368715100 5368709100 1381245 1364753 1 873220 12938760192 0 0 cp f 1
job_1377004609870_0006 13:28:48 13:32:49 241.0 40 10 5368715100 5368709100 1277143 1417640 1 865500 13125185536 0 0 cp f 1
job_1377007383230_0009 14:14:55 14:20:52 357.0 40 10 5368715100 5368709100 1379197 1076727 1 857390 13027667968 0 0 cp f 2
job_1377007383230_0010 14:14:55 14:21:03 368.0 40 10 5368715100 5368709100 1615366 750994 1 913790 13029990400 0 0 cp f 2
job_1377007383230_0006 14:14:54 14:17:51 177.0 40 10 5368715100 5368709100 1292173 949419 1 856370 12969316352 0 0 cp f 2
job_1377007383230_0008 14:14:54 14:19:41 287.0 41 10 5368715100 5368709100 1537357 1127736 1 887010 13061439488 0 0 cp f 2
job_1377007383230_0007 14:14:54 14:18:42 228.0 40 10 5368715100 5368709100 1681619 1276099 1 902480 13071167488 0 0 cp f 2
job_1377003195774_0010 13:04:59 13:12:46 467.0 40 10 5368715100 5368709100 2028318 1005403 1 1009190 13082894336 0 0 cp f 3
job_1377003195774_0007 13:04:59 13:09:22 263.0 40 10 5368715100 5368709100 1746407 1454407 1 974530 13139156992 0 0 cp f 3
job_1377003195774_0009 13:04:59 13:12:07 428.0 40 10 5368715100 5368709100 1862982 1402055 1 990220 13044891648 0 0 cp f 3
job_1377003195774_0008 13:04:59 13:10:50 351.0 41 10 5368715100 5368709100 1874987 1246634 1 980060 12967911424 0 0 cp f 3
job_1377003195774_0006 13:04:58 13:09:30 272.0 40 10 5368715100 5368709100 1501980 1594738 1 944640 12908613632 0 0 cp f 3
job_1377005989670_0010 13:51:06 13:58:57 471.0 40 10 5368715100 5368709100 1816854 1123011 1 1001510 13043564544 0 0 cp f 4
job_1377005989670_0009 13:51:05 13:58:28 443.0 40 10 5368715100 5368709100 1864276 1486239 1 1049230 12951154688 0 0 cp f 4
job_1377005989670_0007 13:51:05 13:55:48 283.0 40 10 5368715100 5368709100 2121560 1613015 1 1023180 13044256768 0 0 cp f 4
job_1377005989670_0006 13:51:05 13:54:24 199.0 40 10 5368715100 5368709100 1474367 1250921 1 923180 12972052480 0 0 cp f 4
job_1377005989670_0008 13:51:05 13:57:22 377.0 40 10 5368715100 5368709100 1763152 1567376 1 994190 13060534272 0 0 cp f 4
job_1377008708334_0007 14:36:11 14:41:18 307.0 40 10 5368715100 5368709100 1404501 1554855 1 910140 12988223488 0 0 cp f 5
