job_ID              start_time  end_time job_d mp rd  r_bytes   w_bytes   mp_t    rd_t  ?  cpu_t  mem_amnt  fs kt s sp rn
job_1377627451166_0010 18:34:31 18:46:52 741.0 45 10 5368715020 5368709100 2959667 1732345 1 1123790 13044908032 0 4 cp t 1
job_1377627451166_0006 18:34:30 18:42:11 461.0 46 10 5368715020 5368709100 2741536 2731244 1 1214880 12997021696 0 6 cp t 1
job_1377627451166_0008 18:34:31 18:44:22 591.0 43 10 5368715020 5368709100 3084374 2632065 1 1180540 13030195200 0 3 cp t 1
job_1377627451166_0009 18:34:31 18:46:26 715.0 44 10 5368715020 5368709100 3016975 2268497 1 1192290 12886945792 0 4 cp t 1
job_1377627451166_0007 18:34:31 18:42:25 474.0 42 11 5368715020 5368709100 2136335 2269462 1 1097480 13125419008 0 3 cp t 1
job_1377622963969_0006 17:19:44 17:26:27 403.0 48 11 5368715020 5368709100 3077240 2463773 1 1101460 12853268480 0 9 cp t 2
job_1377622963969_0007 17:19:44 17:26:55 431.0 45 10 5368715020 5368709100 2550065 2468585 1 1166770 12978507776 0 5 cp t 2
job_1377622963969_0008 17:19:45 17:29:51 606.0 44 10 5368715020 5368709100 3105394 2643834 1 1187690 12883177472 0 4 cp t 2
job_1377622963969_0009 17:19:45 17:30:57 672.0 44 10 5368715020 5368709100 2626681 2071246 1 1110730 12887904256 0 3 cp t 2
job_1377622963969_0010 17:19:46 17:31:28 702.0 44 10 5368715020 5368709100 2708987 1272755 1 1120970 12828151808 0 3 cp t 2
job_1377625154550_0006 17:56:33 18:00:46 253.0 44 11 5368715020 5368709100 2179729 1798565 1 1077370 12996784128 0 5 cp t 3
job_1377625154550_0008 17:56:34 18:07:02 628.0 44 10 5368715020 5368709100 3096909 2774390 1 1202630 12827209728 0 4 cp t 3
job_1377625154550_0007 17:56:34 18:02:59 385.0 45 10 5368715020 5368709100 2941981 2325036 1 1191550 12788326400 0 5 cp t 3
job_1377625154550_0009 17:56:34 18:08:14 700.0 46 10 5368715020 5368709100 2766279 2364114 1 1168460 12885438464 0 6 cp t 3
job_1377625154550_0010 17:56:34 18:08:32 718.0 45 10 5368715020 5368709100 3241958 1815267 1 1132340 13014605824 0 5 cp t 3
job_1377618433102_0010 16:04:37 16:16:16 699.0 43 10 5368715020 5368709100 2674390 1379612 1 1136730 13026959360 0 3 cp t 4
job_1377618433102_0008 16:04:37 16:14:27 590.0 42 10 5368715020 5368709100 3108074 1965936 1 1262950 12955049984 0 2 cp t 4
job_1377618433102_0007 16:04:37 16:12:47 490.0 45 10 5368715020 5368709100 2655670 2387614 1 1160420 13025615872 0 5 cp t 4
job_1377618433102_0009 16:04:37 16:15:04 627.0 44 10 5368715020 5368709100 2873361 1623586 1 1152240 12937728000 0 3 cp t 4
job_1377618433102_0006 16:04:37 16:11:10 393.0 45 13 5368715020 5368709100 2058615 2887394 1 1129040 13049393152 0 8 cp t 4
job_1377620683934_0008 16:41:59 16:52:54 655.0 45 10 5368715020 5368709100 2232124 2209687 1 1202230 12820365312 0 5 cp t 5
job_1377620683934_0010 16:42:00 16:55:17 797.0 45 10 5368715020 5368709100 2715228 1978524 1 1137680 12972539904 0 5 cp t 5
job_1377620683934_0009 16:42:00 16:54:45 765.0 43 10 5368715020 5368709100 3052849 2434880 1 1214260 12949991424 0 3 cp t 5
job_1377620683934_0006 16:42:00 16:49:47 467.0 46 10 5368715020 5368709100 3003117 2648598 1 1162010 12965646336 0 6 cp t 5
job_1377620683934_0007 16:41:59 16:51:18 559.0 45 10 5368715020 5368709100 3275386 2971065 1 1278570 13014044672 0 5 cp t 5
job_1377629669868_0008 19:11:44 19:22:00 616.0 40 10 5368715020 5368709100 2793130 2666607 1 1167140 12923068416 0 0 cp f 1
job_1377629669868_0010 19:11:44 19:23:50 726.0 40 10 5368715020 5368709100 3515387 1425190 1 1151150 12948975616 0 0 cp f 1
job_1377629669868_0007 19:11:44 19:19:31 467.0 40 10 5368715020 5368709100 3173677 2783527 1 1236160 12967686144 0 0 cp f 1
job_1377629669868_0009 19:11:44 19:23:34 710.0 40 10 5368715020 5368709100 2653777 2035933 1 1184060 12978114560 0 0 cp f 1
job_1377629669868_0006 19:11:43 19:17:46 363.0 40 10 5368715020 5368709100 2007145 2100468 1 1060240 13029916672 0 0 cp f 1
job_1377638555489_0007 21:39:42 21:47:31 469.0 40 10 5368715020 5368709100 2834236 3098258 1 1216810 13010722816 0 0 cp f 2
job_1377638555489_0010 21:39:42 21:51:47 725.0 40 10 5368715020 5368709100 2455092 1401879 1 1126870 12909641728 0 0 cp f 2
job_1377638555489_0009 21:39:42 21:51:29 707.0 40 10 5368715020 5368709100 3189831 2353907 1 1169470 12895821824 0 0 cp f 2
job_1377638555489_0008 21:39:42 21:50:12 630.0 40 10 5368715020 5368709100 2748371 2406022 1 1179990 12902760448 0 0 cp f 2
job_1377638555489_0006 21:39:42 21:45:50 368.0 40 10 5368715020 5368709100 2458618 2676378 1 1147690 12878442496 0 0 cp f 2
job_1377634097618_0007 20:25:22 20:35:01 579.0 40 10 5368715020 5368709100 3750949 3130418 1 1308500 12937965568 0 0 cp f 3
job_1377634097618_0009 20:25:22 20:36:45 683.0 40 10 5368715020 5368709100 2943891 2137083 1 1189860 12872249344 0 0 cp f 3
job_1377634097618_0006 20:25:21 20:32:12 411.0 40 10 5368715020 5368709100 2512739 2429160 1 1147580 12782641152 0 0 cp f 3
job_1377634097618_0008 20:25:22 20:34:42 560.0 40 10 5368715020 5368709100 1940140 1943320 1 1093910 13001654272 0 0 cp f 3
job_1377634097618_0010 20:25:22 20:37:33 731.0 40 10 5368715020 5368709100 2724910 1511287 1 1128810 12870250496 0 0 cp f 3
job_1377631874029_0007 19:48:18 19:55:22 424.0 40 10 5368715020 5368709100 2398102 2315343 1 1112880 12914180096 0 0 cp f 4
job_1377631874029_0009 19:48:18 20:00:03 705.0 40 10 5368715020 5368709100 2860766 2473224 1 1307060 12980920320 0 0 cp f 4
job_1377631874029_0008 19:48:18 19:58:28 610.0 40 10 5368715020 5368709100 2591161 2780316 1 1211180 12886040576 0 0 cp f 4
job_1377631874029_0010 19:48:18 20:00:33 735.0 40 10 5368715020 5368709100 2477195 1709327 1 1128750 13020635136 0 0 cp f 4
job_1377631874029_0006 19:48:17 19:55:32 435.0 40 10 5368715020 5368709100 1798738 3060797 1 1065250 12932452352 0 0 cp f 4
job_1377636341927_0009 21:02:14 21:14:48 754.0 40 10 5368715020 5368709100 2164300 3093246 1 1163850 12898312192 0 0 cp f 5
job_1377636341927_0010 21:02:15 21:15:05 770.0 40 10 5368715020 5368709100 3392821 2043509 1 1204330 12755415040 0 0 cp f 5
job_1377636341927_0007 21:02:14 21:10:58 524.0 40 10 5368715020 5368709100 2169415 2563305 1 1144210 12733276160 0 0 cp f 5
job_1377636341927_0006 21:02:13 21:11:54 581.0 40 10 5368715020 5368709100 2417585 3114305 1 1195180 12909744128 0 0 cp f 5
job_1377636341927_0008 21:02:14 21:13:52 698.0 40 10 5368715020 5368709100 2540026 2810987 1 1300770 13112373248 0 0 cp f 5
job_1377650446335_0008 00:58:03 01:15:51 1068.0 40 15 5368715020 5368709100 1789444 5500096 1 1173640 13029670912 8 5 fs t 1
job_1377650446335_0007 00:58:03 01:14:12 969.0 40 11 5368715020 5368709100 2064666 3825849 1 1207200 12984713216 0 1 fs t 1
job_1377650446335_0009 00:58:03 01:15:58 1075.0 40 17 5368715020 5368709100 2597537 6724384 1 1170350 12871528448 0 7 fs t 1
job_1377650446335_0006 00:58:02 01:15:28 1046.0 40 13 5368715020 5368709100 1854099 4858887 1 1151290 12961853440 1 3 fs t 1
job_1377650446335_0010 00:58:03 01:15:40 1057.0 40 15 5368715020 5368709100 2318343 5783242 1 1218240 13038641152 1 5 fs t 1
job_1377640765705_0009 22:16:16 22:32:14 958.0 40 17 5368715020 5368709100 2136827 4753449 1 1191950 12994170880 0 7 fs t 2
job_1377640765705_0010 22:16:17 22:32:21 964.0 40 17 5368715020 5368709100 2906604 4450676 1 1251500 12906434560 0 7 fs t 2
job_1377640765705_0007 22:16:16 22:29:35 799.0 40 12 5368715020 5368709100 2480665 3275359 1 1136330 12902592512 0 1 fs t 2
job_1377640765705_0006 22:16:16 22:32:05 949.0 40 14 5368715020 5368709100 2493104 5222690 1 1211640 12990545920 0 4 fs t 2
job_1377640765705_0008 22:16:16 22:31:39 923.0 40 15 5368715020 5368709100 1764292 4506405 1 1185350 12962586624 1 5 fs t 2
job_1377648003519_0006 00:17:08 00:31:33 865.0 40 13 5368715020 5368709100 1799002 3902404 1 1208020 12961751040 0 3 fs t 3
job_1377648003519_0010 00:17:09 00:32:07 898.0 40 16 5368715020 5368709100 2803248 4687148 1 1246640 13012574208 0 6 fs t 3
job_1377648003519_0008 00:17:08 00:32:35 927.0 41 14 5368715020 5368709100 2674798 5098506 1 1248980 12830531584 0 5 fs t 3
job_1377648003519_0009 00:17:08 00:31:29 861.0 40 14 5368715020 5368709100 2014346 4639548 1 1224440 13027454976 0 4 fs t 3
job_1377648003519_0007 00:17:08 00:27:27 619.0 40 13 5368715020 5368709100 1453327 2191615 1 1103520 12997668864 0 3 fs t 3
job_1377645634660_0009 23:37:30 23:51:55 865.0 40 13 5368715020 5368709100 1700475 4621241 1 1211320 12800954368 0 3 fs t 4
job_1377645634660_0006 23:37:29 23:52:34 905.0 40 15 5368715020 5368709100 2571668 5116909 1 1223780 12882976768 0 5 fs t 4
job_1377645634660_0010 23:37:31 23:52:11 880.0 40 14 5368715020 5368709100 1973102 4622511 1 1220710 12973920256 0 4 fs t 4
job_1377645634660_0008 23:37:30 23:52:03 873.0 40 13 5368715020 5368709100 1939963 3715917 1 1189060 12985606144 0 3 fs t 4
job_1377645634660_0007 23:37:30 23:51:25 835.0 40 12 5368715020 5368709100 1485042 3359534 1 1143290 13045354496 0 2 fs t 4
job_1377643194906_0008 22:56:39 23:11:21 882.0 41 15 5368715020 5368709100 2523622 4292670 1 1188030 12906483712 0 6 fs t 5
job_1377643194906_0007 22:56:39 23:10:59 860.0 40 12 5368715020 5368709100 1808766 4805921 1 1192260 13030240256 0 2 fs t 5
job_1377643194906_0010 22:56:39 23:11:04 865.0 40 11 5368715020 5368709100 1965482 3720864 1 1219680 12992057344 0 1 fs t 5
job_1377643194906_0009 22:56:39 23:11:25 886.0 40 14 5368715020 5368709100 2172338 4320153 1 1204610 12824178688 0 4 fs t 5
job_1377643194906_0006 22:56:38 23:10:55 857.0 40 13 5368715020 5368709100 1607177 3602972 1 1152600 13093416960 0 3 fs t 5
job_1377657787239_0009 03:00:21 03:13:44 803.0 40 10 5368715020 5368709100 2065233 3104685 1 1182790 12943884288 0 0 fs f 1
job_1377657787239_0010 03:00:22 03:13:29 787.0 40 10 5368715020 5368709100 3204822 2688407 1 1194070 12727750656 0 0 fs f 1
