job_ID              start_time  end_time job_d mp rd  r_bytes   w_bytes   mp_t    rd_t  ?  cpu_t  mem_amnt  fs kt s sp rn
job_1375842659078_0010 02:42:05 02:49:51 466.0 44 5 5368715100 5368709100 1870898 746335 1 945580 11541164032 0 4 cp t 1
job_1375842659078_0008 02:42:04 02:49:36 452.0 43 5 5368715100 5368709100 1698893 1270930 1 928960 11571990528 0 3 cp t 1
job_1375842659078_0007 02:42:04 02:48:52 408.0 44 5 5368715100 5368709100 1852144 1182740 1 927220 11715817472 0 4 cp t 1
job_1375842659078_0006 02:42:04 02:46:03 239.0 42 7 5368715100 5368709100 1397884 1032871 1 843710 11565469696 0 2 cp t 1
job_1375842659078_0009 02:42:05 02:49:43 458.0 45 5 5368715100 5368709100 1888455 907479 1 945580 11558535168 0 5 cp t 1
job_1375844022055_0007 03:04:52 03:10:52 360.0 43 7 5368715100 5368709100 1597512 1457795 1 919990 11567316992 0 3 cp t 2
job_1375844022055_0008 03:04:52 03:12:33 461.0 44 6 5368715100 5368709100 1952207 1344377 1 960280 11662835712 0 4 cp t 2
job_1375844022055_0010 03:04:52 03:13:10 498.0 44 5 5368715100 5368709100 2224196 866311 1 972250 11484815360 0 4 cp t 2
job_1375844022055_0009 03:04:52 03:12:58 486.0 43 5 5368715100 5368709100 1723131 997698 1 933520 11597574144 0 3 cp t 2
job_1375844022055_0006 03:04:51 03:09:18 267.0 41 6 5368715100 5368709100 1236597 930262 1 780060 11663716352 0 1 cp t 2
job_1375841322317_0009 02:20:04 02:27:09 425.0 43 6 5368715100 5368709100 1682564 910687 1 930240 11733798912 0 3 cp t 3
job_1375841322317_0010 02:20:04 02:27:04 420.0 42 5 5368715100 5368709100 1864181 522954 1 943890 11534651392 0 2 cp t 3
job_1375841322317_0006 02:20:04 02:24:17 253.0 45 6 5368715100 5368709100 1741862 914803 1 871300 11626086400 0 5 cp t 3
job_1375841322317_0007 02:20:04 02:25:24 320.0 43 5 5368715100 5368709100 1805427 1150810 1 993550 11619672064 0 3 cp t 3
job_1375841322317_0008 02:20:04 02:26:37 393.0 42 5 5368715100 5368709100 1770167 936576 1 885330 11586445312 0 2 cp t 3
job_1375845418464_0008 03:28:05 03:34:35 390.0 43 5 5368715100 5368709100 2147192 1030048 1 1001960 11508973568 0 3 cp t 4
job_1375845418464_0010 03:28:06 03:36:43 517.0 42 5 5368715100 5368709100 2123419 859551 1 967560 11499073536 0 2 cp t 4
job_1375845418464_0009 03:28:06 03:34:27 381.0 42 5 5368715100 5368709100 1762512 674652 1 915940 11517411328 0 2 cp t 4
job_1375845418464_0007 03:28:05 03:33:39 334.0 43 5 5368715100 5368709100 1717671 1003330 1 879160 11694440448 0 3 cp t 4
job_1375845418464_0006 03:28:05 03:33:58 353.0 41 6 5368715100 5368709100 1280480 1423966 1 879960 11584294912 0 1 cp t 4
job_1375846832799_0010 03:51:42 03:58:51 429.0 43 5 5368715100 5368709100 1441661 574049 1 898060 11543404544 0 3 cp t 5
job_1375846832799_0006 03:51:42 03:57:57 375.0 42 5 5368715100 5368709100 1541665 1192717 1 896420 11611607040 0 2 cp t 5
